X,CH1,CH2,
5.40e-05,4.72e+00,1.76e+00
5.60e-05,4.56e+00,1.84e+00
5.80e-05,4.72e+00,1.84e+00
6.00e-05,4.64e+00,2.00e+00
6.20e-05,4.64e+00,2.08e+00
6.40e-05,4.64e+00,2.16e+00
6.60e-05,4.72e+00,2.24e+00
6.80e-05,4.64e+00,2.32e+00
7.00e-05,4.72e+00,2.40e+00
7.20e-05,4.64e+00,2.48e+00
7.40e-05,4.64e+00,2.56e+00
7.60e-05,4.72e+00,2.64e+00
7.80e-05,4.72e+00,2.72e+00
8.00e-05,4.72e+00,2.80e+00
8.20e-05,4.72e+00,2.88e+00
8.40e-05,4.72e+00,2.96e+00
8.60e-05,4.72e+00,3.04e+00
8.80e-05,4.64e+00,3.04e+00
9.00e-05,4.72e+00,3.20e+00
9.20e-05,4.72e+00,3.12e+00
9.40e-05,4.72e+00,3.28e+00
9.60e-05,4.72e+00,3.36e+00
9.80e-05,4.72e+00,3.36e+00
1.00e-04,4.72e+00,3.44e+00
1.02e-04,4.72e+00,3.44e+00
1.04e-04,4.80e+00,3.52e+00
1.06e-04,4.72e+00,3.60e+00
1.08e-04,4.72e+00,3.68e+00
1.10e-04,4.80e+00,3.68e+00
1.12e-04,4.80e+00,3.68e+00
1.14e-04,4.72e+00,3.76e+00
1.16e-04,4.88e+00,3.84e+00
1.18e-04,4.80e+00,3.92e+00
1.20e-04,4.88e+00,3.92e+00
1.22e-04,4.88e+00,4.00e+00
1.24e-04,4.80e+00,4.00e+00
1.26e-04,4.88e+00,4.00e+00
1.28e-04,4.80e+00,4.00e+00
1.30e-04,4.80e+00,4.08e+00
1.32e-04,4.80e+00,4.08e+00
1.34e-04,4.80e+00,4.24e+00
1.36e-04,4.80e+00,4.24e+00
1.38e-04,4.80e+00,4.24e+00
1.40e-04,4.80e+00,4.24e+00
1.42e-04,4.80e+00,4.32e+00
1.44e-04,4.80e+00,4.32e+00
1.46e-04,4.88e+00,4.32e+00
1.48e-04,4.80e+00,4.32e+00
1.50e-04,4.88e+00,4.40e+00
1.52e-04,4.88e+00,4.40e+00
1.54e-04,4.88e+00,4.40e+00
1.56e-04,4.80e+00,4.48e+00
1.58e-04,4.88e+00,4.48e+00
1.60e-04,4.88e+00,4.48e+00
1.62e-04,4.88e+00,4.56e+00
1.64e-04,4.88e+00,4.56e+00
1.66e-04,4.96e+00,4.48e+00
1.68e-04,4.88e+00,4.56e+00
1.70e-04,4.88e+00,4.64e+00
1.72e-04,4.88e+00,4.56e+00
1.74e-04,4.96e+00,4.64e+00
1.76e-04,4.88e+00,4.56e+00
1.78e-04,4.88e+00,4.64e+00
1.80e-04,4.88e+00,4.64e+00
1.82e-04,4.88e+00,4.64e+00
1.84e-04,4.96e+00,4.64e+00
1.86e-04,4.88e+00,4.72e+00
1.88e-04,4.88e+00,4.72e+00
1.90e-04,4.88e+00,4.72e+00
1.92e-04,4.88e+00,4.72e+00
1.94e-04,4.88e+00,4.72e+00
1.96e-04,4.96e+00,4.72e+00
1.98e-04,4.88e+00,4.72e+00
2.00e-04,4.88e+00,4.72e+00
2.02e-04,4.88e+00,4.80e+00
2.04e-04,4.96e+00,4.80e+00
2.06e-04,4.88e+00,4.80e+00
2.08e-04,4.88e+00,4.72e+00
2.10e-04,4.96e+00,4.72e+00
2.12e-04,4.88e+00,4.80e+00
2.14e-04,4.96e+00,4.88e+00
2.16e-04,4.88e+00,4.80e+00
2.18e-04,4.88e+00,4.88e+00
2.20e-04,4.88e+00,4.80e+00
2.22e-04,4.96e+00,4.88e+00
2.24e-04,4.96e+00,4.80e+00
2.26e-04,4.96e+00,4.80e+00
2.28e-04,4.96e+00,4.80e+00
2.30e-04,4.88e+00,4.80e+00
2.32e-04,4.96e+00,4.88e+00
2.34e-04,4.96e+00,4.96e+00
2.36e-04,4.96e+00,4.88e+00
2.38e-04,4.88e+00,4.88e+00
2.40e-04,4.96e+00,4.88e+00
2.42e-04,4.96e+00,4.88e+00
2.44e-04,4.96e+00,4.88e+00
2.46e-04,4.88e+00,4.88e+00
2.48e-04,4.96e+00,4.80e+00
2.50e-04,4.96e+00,4.88e+00
2.52e-04,4.88e+00,4.88e+00
2.54e-04,4.96e+00,4.88e+00
2.56e-04,4.96e+00,4.88e+00
2.58e-04,4.96e+00,4.88e+00
2.60e-04,4.88e+00,4.88e+00
2.62e-04,4.88e+00,4.88e+00
2.64e-04,4.96e+00,4.88e+00
2.66e-04,4.88e+00,4.88e+00
2.68e-04,4.96e+00,4.88e+00
2.70e-04,4.88e+00,4.88e+00
2.72e-04,4.88e+00,4.96e+00
2.74e-04,4.88e+00,4.96e+00
2.76e-04,4.88e+00,4.96e+00
2.78e-04,4.96e+00,4.88e+00
2.80e-04,4.96e+00,4.96e+00
2.82e-04,4.88e+00,4.96e+00
2.84e-04,4.96e+00,4.96e+00
2.86e-04,4.96e+00,4.88e+00
2.88e-04,4.88e+00,4.96e+00
2.90e-04,4.96e+00,4.88e+00
2.92e-04,4.96e+00,4.88e+00
2.94e-04,4.96e+00,4.96e+00
2.96e-04,4.88e+00,4.88e+00
2.98e-04,4.88e+00,4.88e+00
3.00e-04,4.96e+00,4.88e+00
3.02e-04,4.96e+00,4.88e+00
3.04e-04,4.96e+00,4.88e+00
3.06e-04,4.96e+00,4.88e+00
3.08e-04,4.88e+00,4.96e+00
3.10e-04,4.96e+00,4.88e+00
3.12e-04,4.96e+00,4.88e+00
3.14e-04,4.96e+00,4.88e+00
3.16e-04,4.96e+00,4.88e+00
3.18e-04,4.96e+00,4.80e+00
3.20e-04,4.88e+00,4.96e+00
3.22e-04,4.96e+00,4.88e+00
3.24e-04,4.96e+00,4.88e+00
3.26e-04,4.88e+00,4.88e+00
3.28e-04,4.96e+00,4.88e+00
3.30e-04,4.96e+00,4.88e+00
3.32e-04,4.88e+00,4.88e+00
3.34e-04,4.88e+00,4.88e+00
3.36e-04,4.96e+00,4.88e+00
3.38e-04,4.96e+00,4.88e+00
3.40e-04,4.96e+00,4.88e+00
3.42e-04,4.96e+00,4.96e+00
3.44e-04,4.88e+00,4.88e+00
3.46e-04,4.96e+00,4.88e+00
3.48e-04,4.96e+00,4.88e+00
3.50e-04,4.96e+00,4.88e+00
3.52e-04,4.96e+00,4.88e+00
3.54e-04,4.96e+00,4.96e+00
3.56e-04,4.96e+00,4.88e+00
3.58e-04,4.88e+00,4.88e+00
3.60e-04,4.96e+00,4.88e+00
3.62e-04,4.88e+00,4.88e+00
3.64e-04,5.04e+00,4.88e+00
3.66e-04,4.96e+00,4.88e+00
3.68e-04,4.88e+00,4.88e+00
3.70e-04,4.96e+00,4.88e+00
3.72e-04,4.88e+00,4.88e+00
3.74e-04,4.88e+00,4.88e+00
3.76e-04,4.96e+00,4.88e+00
3.78e-04,4.88e+00,4.88e+00
3.80e-04,4.88e+00,4.96e+00
3.82e-04,4.88e+00,4.88e+00
3.84e-04,4.96e+00,4.80e+00
3.86e-04,4.96e+00,4.88e+00
3.88e-04,4.96e+00,4.88e+00
3.90e-04,4.96e+00,4.88e+00
3.92e-04,4.96e+00,4.88e+00
3.94e-04,4.96e+00,4.88e+00
3.96e-04,4.88e+00,4.88e+00
3.98e-04,4.96e+00,4.88e+00
4.00e-04,4.96e+00,4.88e+00
4.02e-04,4.88e+00,4.88e+00
4.04e-04,4.96e+00,4.88e+00
4.06e-04,4.88e+00,4.88e+00
4.08e-04,4.96e+00,4.88e+00
4.10e-04,4.88e+00,4.88e+00
4.12e-04,4.88e+00,4.88e+00
4.14e-04,4.96e+00,4.80e+00
4.16e-04,4.88e+00,4.80e+00
4.18e-04,4.96e+00,4.88e+00
4.20e-04,4.88e+00,4.88e+00
4.22e-04,4.88e+00,4.88e+00
4.24e-04,4.88e+00,4.88e+00
4.26e-04,4.96e+00,4.88e+00
4.28e-04,4.96e+00,4.88e+00
4.30e-04,4.96e+00,4.88e+00
4.32e-04,4.96e+00,4.96e+00
4.34e-04,4.96e+00,4.88e+00
4.36e-04,4.88e+00,4.88e+00
4.38e-04,4.96e+00,4.96e+00
4.40e-04,4.96e+00,4.88e+00
4.42e-04,4.88e+00,4.96e+00
4.44e-04,4.96e+00,4.80e+00
4.46e-04,4.88e+00,4.88e+00
4.48e-04,4.96e+00,4.88e+00
4.50e-04,4.96e+00,4.80e+00
4.52e-04,4.88e+00,4.96e+00
4.54e-04,4.96e+00,4.88e+00
4.56e-04,4.88e+00,4.80e+00
4.58e-04,4.88e+00,4.88e+00
4.60e-04,4.88e+00,4.88e+00
4.62e-04,4.96e+00,4.88e+00
4.64e-04,4.96e+00,4.96e+00
4.66e-04,4.88e+00,4.88e+00
4.68e-04,4.96e+00,4.88e+00
4.70e-04,4.88e+00,4.88e+00
4.72e-04,4.96e+00,4.88e+00
4.74e-04,4.88e+00,4.88e+00
4.76e-04,4.96e+00,4.80e+00
4.78e-04,4.88e+00,4.88e+00
4.80e-04,4.96e+00,4.88e+00
4.82e-04,4.88e+00,4.88e+00
4.84e-04,4.88e+00,4.88e+00
4.86e-04,4.96e+00,4.88e+00
4.88e-04,4.96e+00,4.96e+00
4.90e-04,4.88e+00,4.88e+00
4.92e-04,4.96e+00,4.88e+00
4.94e-04,4.96e+00,4.96e+00
4.96e-04,4.88e+00,4.88e+00
4.98e-04,4.88e+00,4.88e+00
5.00e-04,4.96e+00,4.88e+00
5.02e-04,4.96e+00,4.88e+00
5.04e-04,4.96e+00,4.88e+00
5.06e-04,4.88e+00,4.88e+00
5.08e-04,5.04e+00,4.88e+00
5.10e-04,4.96e+00,4.88e+00
5.12e-04,5.04e+00,4.88e+00
5.14e-04,4.88e+00,4.88e+00
5.16e-04,4.88e+00,4.88e+00
5.18e-04,4.96e+00,4.96e+00
5.20e-04,4.96e+00,4.88e+00
5.22e-04,4.96e+00,4.88e+00
5.24e-04,4.96e+00,4.88e+00
5.26e-04,4.88e+00,4.96e+00
5.28e-04,4.96e+00,4.88e+00
5.30e-04,4.88e+00,4.80e+00
5.32e-04,4.88e+00,4.88e+00
5.34e-04,4.96e+00,4.88e+00
5.36e-04,4.88e+00,4.88e+00
5.38e-04,4.96e+00,4.88e+00
5.40e-04,4.88e+00,4.88e+00
5.42e-04,4.96e+00,4.88e+00
5.44e-04,4.96e+00,4.80e+00
5.46e-04,4.88e+00,4.88e+00
5.48e-04,4.96e+00,4.88e+00
5.50e-04,4.96e+00,4.88e+00
5.52e-04,4.96e+00,4.88e+00
5.54e-04,4.88e+00,4.88e+00
5.56e-04,4.96e+00,4.88e+00
5.58e-04,4.88e+00,4.88e+00
5.60e-04,4.96e+00,4.88e+00
5.62e-04,4.96e+00,4.88e+00
5.64e-04,4.96e+00,4.88e+00
5.66e-04,4.88e+00,4.88e+00
5.68e-04,4.88e+00,4.88e+00
5.70e-04,4.96e+00,4.88e+00
5.72e-04,4.88e+00,4.88e+00
5.74e-04,4.96e+00,4.88e+00
5.76e-04,4.96e+00,4.96e+00
5.78e-04,4.88e+00,4.88e+00
5.80e-04,4.88e+00,4.88e+00
5.82e-04,4.96e+00,4.96e+00
5.84e-04,4.88e+00,4.88e+00
5.86e-04,4.96e+00,4.88e+00
5.88e-04,4.88e+00,4.88e+00
5.90e-04,4.88e+00,4.88e+00
5.92e-04,4.88e+00,4.88e+00
5.94e-04,4.96e+00,4.88e+00
5.96e-04,4.96e+00,4.88e+00
5.98e-04,4.88e+00,4.88e+00
6.00e-04,4.88e+00,4.96e+00
6.02e-04,4.88e+00,4.88e+00
6.04e-04,4.88e+00,4.88e+00
6.06e-04,4.96e+00,4.88e+00
6.08e-04,4.96e+00,4.88e+00
6.10e-04,4.96e+00,4.88e+00
6.12e-04,4.88e+00,4.88e+00
6.14e-04,4.88e+00,4.88e+00
6.16e-04,4.96e+00,4.88e+00
6.18e-04,4.96e+00,4.88e+00
6.20e-04,4.96e+00,4.88e+00
6.22e-04,4.96e+00,4.88e+00
6.24e-04,4.96e+00,4.88e+00
6.26e-04,4.96e+00,4.88e+00
6.28e-04,4.96e+00,4.88e+00
6.30e-04,4.88e+00,4.88e+00
6.32e-04,4.96e+00,4.88e+00
6.34e-04,4.96e+00,4.80e+00
6.36e-04,4.96e+00,4.88e+00
6.38e-04,4.96e+00,4.88e+00
6.40e-04,5.04e+00,4.96e+00
6.42e-04,5.04e+00,4.88e+00
6.44e-04,4.88e+00,4.88e+00
6.46e-04,4.96e+00,4.88e+00
6.48e-04,4.88e+00,4.88e+00
6.50e-04,4.96e+00,4.88e+00
6.52e-04,4.88e+00,4.88e+00
6.54e-04,4.96e+00,4.80e+00
6.56e-04,4.96e+00,4.96e+00
6.58e-04,4.96e+00,4.88e+00
6.60e-04,4.88e+00,4.80e+00
6.62e-04,4.96e+00,4.88e+00
6.64e-04,4.88e+00,4.88e+00
6.66e-04,4.88e+00,4.88e+00
6.68e-04,4.88e+00,4.72e+00
6.70e-04,4.88e+00,4.88e+00
6.72e-04,4.88e+00,4.88e+00
6.74e-04,4.88e+00,4.88e+00
6.76e-04,4.96e+00,4.88e+00
6.78e-04,4.96e+00,4.88e+00
6.80e-04,4.88e+00,4.88e+00
6.82e-04,4.88e+00,4.88e+00
6.84e-04,4.88e+00,4.88e+00
6.86e-04,4.96e+00,4.88e+00
6.88e-04,4.96e+00,4.88e+00
6.90e-04,4.96e+00,4.96e+00
6.92e-04,4.88e+00,4.80e+00
6.94e-04,4.96e+00,4.88e+00
6.96e-04,4.96e+00,4.88e+00
6.98e-04,4.88e+00,4.88e+00
7.00e-04,4.96e+00,4.96e+00
7.02e-04,4.96e+00,4.88e+00
7.04e-04,4.88e+00,4.88e+00
7.06e-04,4.88e+00,4.88e+00
7.08e-04,4.88e+00,4.88e+00
7.10e-04,4.88e+00,4.88e+00
7.12e-04,4.96e+00,4.88e+00
7.14e-04,4.88e+00,4.88e+00
7.16e-04,4.96e+00,4.88e+00
7.18e-04,4.88e+00,4.96e+00
7.20e-04,4.96e+00,4.88e+00
7.22e-04,4.96e+00,4.96e+00
7.24e-04,4.88e+00,4.80e+00
7.26e-04,4.96e+00,4.88e+00
7.28e-04,4.88e+00,4.88e+00
7.30e-04,4.88e+00,4.88e+00
7.32e-04,4.96e+00,4.88e+00
7.34e-04,4.88e+00,4.88e+00
7.36e-04,4.88e+00,4.88e+00
7.38e-04,4.88e+00,4.88e+00
7.40e-04,5.04e+00,4.88e+00
7.42e-04,4.96e+00,4.88e+00
7.44e-04,4.96e+00,4.88e+00
7.46e-04,4.96e+00,4.88e+00
7.48e-04,4.96e+00,4.88e+00
7.50e-04,4.96e+00,4.88e+00
7.52e-04,4.88e+00,4.88e+00
7.54e-04,4.96e+00,4.96e+00
7.56e-04,4.96e+00,4.88e+00
7.58e-04,4.88e+00,4.80e+00
7.60e-04,4.88e+00,4.88e+00
7.62e-04,4.96e+00,4.88e+00
7.64e-04,4.96e+00,4.88e+00
7.66e-04,4.88e+00,4.88e+00
7.68e-04,4.96e+00,4.88e+00
7.70e-04,4.96e+00,4.96e+00
7.72e-04,4.88e+00,4.96e+00
7.74e-04,4.88e+00,4.96e+00
7.76e-04,4.96e+00,4.88e+00
7.78e-04,4.88e+00,4.88e+00
7.80e-04,4.88e+00,4.88e+00
7.82e-04,4.96e+00,4.88e+00
7.84e-04,4.88e+00,4.88e+00
7.86e-04,4.96e+00,4.88e+00
7.88e-04,4.96e+00,4.88e+00
7.90e-04,4.96e+00,4.88e+00
7.92e-04,4.88e+00,4.88e+00
7.94e-04,4.96e+00,4.96e+00
7.96e-04,4.88e+00,4.88e+00
7.98e-04,4.88e+00,4.88e+00
8.00e-04,4.96e+00,4.96e+00
8.02e-04,4.96e+00,4.88e+00
8.04e-04,4.96e+00,4.88e+00
8.06e-04,4.88e+00,4.88e+00
8.08e-04,4.88e+00,4.88e+00
8.10e-04,4.88e+00,4.88e+00
8.12e-04,4.96e+00,4.96e+00
8.14e-04,4.96e+00,4.88e+00
8.16e-04,4.88e+00,4.88e+00
8.18e-04,4.96e+00,4.80e+00
8.20e-04,4.96e+00,4.88e+00
8.22e-04,5.04e+00,4.88e+00
8.24e-04,4.88e+00,4.80e+00
8.26e-04,4.88e+00,4.88e+00
8.28e-04,4.96e+00,4.96e+00
8.30e-04,4.88e+00,4.96e+00
8.32e-04,4.88e+00,4.88e+00
8.34e-04,4.96e+00,4.88e+00
8.36e-04,4.88e+00,4.80e+00
8.38e-04,4.96e+00,4.88e+00
8.40e-04,4.96e+00,4.88e+00
8.42e-04,4.96e+00,4.80e+00
8.44e-04,4.96e+00,4.88e+00
8.46e-04,4.96e+00,4.88e+00
8.48e-04,4.96e+00,4.88e+00
8.50e-04,4.96e+00,4.88e+00
8.52e-04,4.96e+00,4.96e+00
8.54e-04,4.96e+00,4.80e+00
8.56e-04,4.88e+00,4.88e+00
8.58e-04,4.88e+00,4.88e+00
8.60e-04,4.96e+00,4.88e+00
8.62e-04,4.96e+00,4.88e+00
8.64e-04,4.96e+00,4.88e+00
8.66e-04,4.96e+00,4.88e+00
8.68e-04,4.96e+00,4.88e+00
8.70e-04,4.96e+00,4.88e+00
8.72e-04,4.96e+00,4.88e+00
8.74e-04,4.88e+00,4.88e+00
8.76e-04,4.96e+00,4.88e+00
8.78e-04,4.96e+00,4.88e+00
8.80e-04,4.96e+00,4.88e+00
8.82e-04,4.96e+00,4.88e+00
8.84e-04,4.96e+00,4.88e+00
8.86e-04,4.88e+00,4.88e+00
8.88e-04,4.88e+00,4.88e+00
8.90e-04,4.88e+00,4.88e+00
8.92e-04,4.88e+00,4.88e+00
8.94e-04,4.96e+00,4.88e+00
8.96e-04,4.88e+00,4.88e+00
8.98e-04,4.96e+00,4.88e+00
9.00e-04,4.88e+00,4.88e+00
9.02e-04,4.88e+00,4.88e+00
9.04e-04,4.88e+00,4.88e+00
9.06e-04,4.96e+00,4.88e+00
9.08e-04,4.96e+00,4.88e+00
9.10e-04,4.96e+00,4.88e+00
9.12e-04,4.96e+00,4.88e+00
9.14e-04,4.96e+00,4.80e+00
9.16e-04,4.96e+00,4.88e+00
9.18e-04,4.96e+00,4.88e+00
9.20e-04,4.96e+00,4.88e+00
9.22e-04,4.96e+00,4.88e+00
9.24e-04,4.96e+00,4.96e+00
9.26e-04,4.96e+00,4.88e+00
9.28e-04,4.88e+00,4.88e+00
9.30e-04,4.88e+00,4.80e+00
9.32e-04,4.96e+00,4.88e+00
9.34e-04,4.96e+00,4.88e+00
9.36e-04,4.88e+00,4.80e+00
9.38e-04,4.88e+00,4.88e+00
9.40e-04,4.88e+00,4.88e+00
9.42e-04,4.96e+00,4.88e+00
9.44e-04,4.96e+00,4.88e+00
9.46e-04,4.96e+00,4.88e+00
9.48e-04,4.88e+00,4.88e+00
9.50e-04,4.88e+00,4.88e+00
9.52e-04,4.96e+00,4.88e+00
9.54e-04,4.96e+00,4.96e+00
9.56e-04,4.96e+00,4.88e+00
9.58e-04,4.96e+00,4.96e+00
9.60e-04,4.96e+00,4.88e+00
9.62e-04,5.04e+00,4.88e+00
9.64e-04,4.96e+00,4.88e+00
9.66e-04,4.88e+00,4.88e+00
9.68e-04,4.88e+00,4.88e+00
9.70e-04,4.96e+00,4.88e+00
9.72e-04,4.96e+00,4.88e+00
9.74e-04,4.96e+00,4.88e+00
9.76e-04,4.88e+00,4.88e+00
9.78e-04,4.96e+00,4.88e+00
9.80e-04,4.96e+00,4.88e+00
9.82e-04,4.96e+00,4.80e+00
9.84e-04,4.96e+00,4.88e+00
9.86e-04,4.96e+00,4.88e+00
9.88e-04,4.88e+00,4.88e+00
9.90e-04,4.96e+00,4.88e+00
9.92e-04,4.96e+00,4.80e+00
9.94e-04,4.96e+00,4.88e+00
9.96e-04,4.88e+00,4.88e+00
9.98e-04,4.88e+00,4.80e+00
1.00e-03,4.96e+00,4.88e+00
1.00e-03,4.88e+00,4.88e+00
1.00e-03,4.96e+00,4.88e+00
1.01e-03,4.88e+00,4.88e+00
1.01e-03,4.88e+00,4.88e+00
1.01e-03,4.88e+00,4.96e+00
1.01e-03,4.96e+00,4.88e+00
1.01e-03,4.96e+00,4.88e+00
1.02e-03,5.04e+00,4.88e+00
1.02e-03,4.96e+00,4.96e+00
1.02e-03,4.88e+00,4.88e+00
1.02e-03,4.88e+00,4.88e+00
1.02e-03,4.88e+00,4.88e+00
1.03e-03,4.88e+00,4.88e+00
1.03e-03,4.88e+00,4.88e+00
1.03e-03,4.96e+00,4.88e+00
1.03e-03,4.88e+00,4.96e+00
1.03e-03,4.96e+00,4.88e+00
1.04e-03,4.96e+00,4.88e+00
1.04e-03,4.96e+00,4.88e+00
1.04e-03,4.96e+00,4.88e+00
1.04e-03,4.88e+00,4.88e+00
1.04e-03,4.96e+00,4.88e+00
1.05e-03,4.88e+00,4.88e+00
1.05e-03,4.96e+00,4.88e+00
1.05e-03,4.88e+00,4.88e+00
1.05e-03,4.88e+00,4.88e+00
1.05e-03,4.96e+00,4.88e+00
1.06e-03,4.96e+00,4.88e+00
1.06e-03,4.96e+00,4.88e+00
1.06e-03,4.96e+00,4.88e+00
1.06e-03,4.96e+00,4.88e+00
1.06e-03,4.96e+00,4.88e+00
1.07e-03,4.88e+00,4.88e+00
1.07e-03,4.96e+00,4.88e+00
1.07e-03,4.88e+00,4.80e+00
1.07e-03,4.96e+00,4.88e+00
1.07e-03,4.88e+00,4.88e+00
1.08e-03,4.96e+00,4.88e+00
1.08e-03,4.96e+00,4.96e+00
1.08e-03,4.96e+00,4.72e+00
1.08e-03,4.96e+00,4.88e+00
1.08e-03,4.88e+00,4.88e+00
1.09e-03,4.96e+00,4.88e+00
1.09e-03,4.96e+00,4.88e+00
1.09e-03,4.96e+00,4.96e+00
1.09e-03,4.88e+00,4.96e+00
1.09e-03,4.96e+00,4.88e+00
1.10e-03,4.88e+00,4.88e+00
1.10e-03,4.96e+00,4.88e+00
1.10e-03,4.96e+00,4.88e+00
1.10e-03,4.88e+00,4.88e+00
1.10e-03,4.96e+00,4.80e+00
1.11e-03,4.88e+00,4.88e+00
1.11e-03,4.96e+00,4.88e+00
1.11e-03,4.96e+00,4.88e+00
1.11e-03,4.96e+00,4.88e+00
1.11e-03,4.96e+00,4.88e+00
1.12e-03,4.96e+00,4.80e+00
1.12e-03,4.88e+00,4.88e+00
1.12e-03,4.96e+00,4.88e+00
1.12e-03,4.88e+00,4.96e+00
1.12e-03,4.96e+00,4.88e+00
